name,version,license,scope,resolved
@anthropic-ai/sdk,0.73.0,MIT,direct:runtime,https://registry.npmjs.org/@anthropic-ai/sdk/-/sdk-0.73.0.tgz
@babel/runtime,7.28.6,MIT,transitive:runtime,https://registry.npmjs.org/@babel/runtime/-/runtime-7.28.6.tgz
@isaacs/cliui,8.0.2,ISC,transitive:runtime,https://registry.npmjs.org/@isaacs/cliui/-/cliui-8.0.2.tgz
@pdf-lib/standard-fonts,1.0.0,MIT,transitive:runtime,https://registry.npmjs.org/@pdf-lib/standard-fonts/-/standard-fonts-1.0.0.tgz
@pdf-lib/upng,1.0.1,MIT,transitive:runtime,https://registry.npmjs.org/@pdf-lib/upng/-/upng-1.0.1.tgz
@pkgjs/parseargs,0.11.0,MIT,transitive:runtime,https://registry.npmjs.org/@pkgjs/parseargs/-/parseargs-0.11.0.tgz
@supabase/auth-js,2.95.3,MIT,transitive:runtime,https://registry.npmjs.org/@supabase/auth-js/-/auth-js-2.95.3.tgz
@supabase/functions-js,2.95.3,MIT,transitive:runtime,https://registry.npmjs.org/@supabase/functions-js/-/functions-js-2.95.3.tgz
@supabase/postgrest-js,2.95.3,MIT,transitive:runtime,https://registry.npmjs.org/@supabase/postgrest-js/-/postgrest-js-2.95.3.tgz
@supabase/realtime-js,2.95.3,MIT,transitive:runtime,https://registry.npmjs.org/@supabase/realtime-js/-/realtime-js-2.95.3.tgz
@supabase/storage-js,2.95.3,MIT,transitive:runtime,https://registry.npmjs.org/@supabase/storage-js/-/storage-js-2.95.3.tgz
@supabase/supabase-js,2.95.3,MIT,direct:runtime,https://registry.npmjs.org/@supabase/supabase-js/-/supabase-js-2.95.3.tgz
@types/node,25.2.3,MIT,transitive:runtime,https://registry.npmjs.org/@types/node/-/node-25.2.3.tgz
@types/phoenix,1.6.7,MIT,transitive:runtime,https://registry.npmjs.org/@types/phoenix/-/phoenix-1.6.7.tgz
@types/ws,8.18.1,MIT,transitive:runtime,https://registry.npmjs.org/@types/ws/-/ws-8.18.1.tgz
abort-controller,3.0.0,MIT,transitive:runtime,https://registry.npmjs.org/abort-controller/-/abort-controller-3.0.0.tgz
accepts,2.0.0,MIT,transitive:runtime,https://registry.npmjs.org/accepts/-/accepts-2.0.0.tgz
ansi-regex,5.0.1,MIT,transitive:runtime,https://registry.npmjs.org/ansi-regex/-/ansi-regex-5.0.1.tgz
ansi-regex,5.0.1,MIT,transitive:runtime,https://registry.npmjs.org/ansi-regex/-/ansi-regex-5.0.1.tgz
ansi-regex,5.0.1,MIT,transitive:runtime,https://registry.npmjs.org/ansi-regex/-/ansi-regex-5.0.1.tgz
ansi-regex,6.2.2,MIT,transitive:runtime,https://registry.npmjs.org/ansi-regex/-/ansi-regex-6.2.2.tgz
ansi-styles,4.3.0,MIT,transitive:runtime,https://registry.npmjs.org/ansi-styles/-/ansi-styles-4.3.0.tgz
ansi-styles,6.2.3,MIT,transitive:runtime,https://registry.npmjs.org/ansi-styles/-/ansi-styles-6.2.3.tgz
anymatch,3.1.3,ISC,transitive:dev,https://registry.npmjs.org/anymatch/-/anymatch-3.1.3.tgz
archiver,7.0.1,MIT,direct:runtime,https://registry.npmjs.org/archiver/-/archiver-7.0.1.tgz
archiver-utils,5.0.2,MIT,transitive:runtime,https://registry.npmjs.org/archiver-utils/-/archiver-utils-5.0.2.tgz
async,3.2.6,MIT,transitive:runtime,https://registry.npmjs.org/async/-/async-3.2.6.tgz
asynckit,0.4.0,MIT,transitive:runtime,https://registry.npmjs.org/asynckit/-/asynckit-0.4.0.tgz
axios,1.13.4,MIT,transitive:runtime,https://registry.npmjs.org/axios/-/axios-1.13.4.tgz
b4a,1.8.0,Apache-2.0,transitive:runtime,https://registry.npmjs.org/b4a/-/b4a-1.8.0.tgz
balanced-match,1.0.2,MIT,transitive:runtime,https://registry.npmjs.org/balanced-match/-/balanced-match-1.0.2.tgz
bare-events,2.8.2,Apache-2.0,transitive:runtime,https://registry.npmjs.org/bare-events/-/bare-events-2.8.2.tgz
bare-fs,4.5.5,Apache-2.0,transitive:runtime,https://registry.npmjs.org/bare-fs/-/bare-fs-4.5.5.tgz
bare-os,3.7.0,Apache-2.0,transitive:runtime,https://registry.npmjs.org/bare-os/-/bare-os-3.7.0.tgz
bare-path,3.0.0,Apache-2.0,transitive:runtime,https://registry.npmjs.org/bare-path/-/bare-path-3.0.0.tgz
bare-stream,2.8.0,Apache-2.0,transitive:runtime,https://registry.npmjs.org/bare-stream/-/bare-stream-2.8.0.tgz
bare-url,2.3.2,Apache-2.0,transitive:runtime,https://registry.npmjs.org/bare-url/-/bare-url-2.3.2.tgz
base64-js,1.5.1,MIT,transitive:runtime,https://registry.npmjs.org/base64-js/-/base64-js-1.5.1.tgz
binary-extensions,2.3.0,MIT,transitive:dev,https://registry.npmjs.org/binary-extensions/-/binary-extensions-2.3.0.tgz
body-parser,2.2.2,MIT,transitive:runtime,https://registry.npmjs.org/body-parser/-/body-parser-2.2.2.tgz
brace-expansion,1.1.12,MIT,transitive:dev,https://registry.npmjs.org/brace-expansion/-/brace-expansion-1.1.12.tgz
brace-expansion,2.0.2,MIT,transitive:runtime,https://registry.npmjs.org/brace-expansion/-/brace-expansion-2.0.2.tgz
brace-expansion,2.0.2,MIT,transitive:runtime,https://registry.npmjs.org/brace-expansion/-/brace-expansion-2.0.2.tgz
braces,3.0.3,MIT,transitive:dev,https://registry.npmjs.org/braces/-/braces-3.0.3.tgz
buffer,6.0.3,MIT,transitive:runtime,https://registry.npmjs.org/buffer/-/buffer-6.0.3.tgz
buffer-crc32,1.0.0,MIT,transitive:runtime,https://registry.npmjs.org/buffer-crc32/-/buffer-crc32-1.0.0.tgz
bytes,3.1.2,MIT,transitive:runtime,https://registry.npmjs.org/bytes/-/bytes-3.1.2.tgz
call-bind-apply-helpers,1.0.2,MIT,transitive:runtime,https://registry.npmjs.org/call-bind-apply-helpers/-/call-bind-apply-helpers-1.0.2.tgz
call-bound,1.0.4,MIT,transitive:runtime,https://registry.npmjs.org/call-bound/-/call-bound-1.0.4.tgz
chokidar,3.6.0,MIT,transitive:dev,https://registry.npmjs.org/chokidar/-/chokidar-3.6.0.tgz
color-convert,2.0.1,MIT,transitive:runtime,https://registry.npmjs.org/color-convert/-/color-convert-2.0.1.tgz
color-name,1.1.4,MIT,transitive:runtime,https://registry.npmjs.org/color-name/-/color-name-1.1.4.tgz
combined-stream,1.0.8,MIT,transitive:runtime,https://registry.npmjs.org/combined-stream/-/combined-stream-1.0.8.tgz
compress-commons,6.0.2,MIT,transitive:runtime,https://registry.npmjs.org/compress-commons/-/compress-commons-6.0.2.tgz
concat-map,0.0.1,MIT,transitive:dev,https://registry.npmjs.org/concat-map/-/concat-map-0.0.1.tgz
content-disposition,1.0.1,MIT,transitive:runtime,https://registry.npmjs.org/content-disposition/-/content-disposition-1.0.1.tgz
content-type,1.0.5,MIT,transitive:runtime,https://registry.npmjs.org/content-type/-/content-type-1.0.5.tgz
cookie,0.7.2,MIT,transitive:runtime,https://registry.npmjs.org/cookie/-/cookie-0.7.2.tgz
cookie-signature,1.2.2,MIT,transitive:runtime,https://registry.npmjs.org/cookie-signature/-/cookie-signature-1.2.2.tgz
core-util-is,1.0.3,MIT,transitive:runtime,https://registry.npmjs.org/core-util-is/-/core-util-is-1.0.3.tgz
crc-32,1.2.2,Apache-2.0,transitive:runtime,https://registry.npmjs.org/crc-32/-/crc-32-1.2.2.tgz
crc32-stream,6.0.0,MIT,transitive:runtime,https://registry.npmjs.org/crc32-stream/-/crc32-stream-6.0.0.tgz
cross-spawn,7.0.6,MIT,transitive:runtime,https://registry.npmjs.org/cross-spawn/-/cross-spawn-7.0.6.tgz
debug,3.2.7,MIT,transitive:runtime,https://registry.npmjs.org/debug/-/debug-3.2.7.tgz
debug,4.4.3,MIT,transitive:runtime,https://registry.npmjs.org/debug/-/debug-4.4.3.tgz
delayed-stream,1.0.0,MIT,transitive:runtime,https://registry.npmjs.org/delayed-stream/-/delayed-stream-1.0.0.tgz
depd,2.0.0,MIT,transitive:runtime,https://registry.npmjs.org/depd/-/depd-2.0.0.tgz
dotenv,17.2.3,BSD-2-Clause,direct:runtime,https://registry.npmjs.org/dotenv/-/dotenv-17.2.3.tgz
dunder-proto,1.0.1,MIT,transitive:runtime,https://registry.npmjs.org/dunder-proto/-/dunder-proto-1.0.1.tgz
eastasianwidth,0.2.0,MIT,transitive:runtime,https://registry.npmjs.org/eastasianwidth/-/eastasianwidth-0.2.0.tgz
ee-first,1.1.1,MIT,transitive:runtime,https://registry.npmjs.org/ee-first/-/ee-first-1.1.1.tgz
emoji-regex,8.0.0,MIT,transitive:runtime,https://registry.npmjs.org/emoji-regex/-/emoji-regex-8.0.0.tgz
emoji-regex,8.0.0,MIT,transitive:runtime,https://registry.npmjs.org/emoji-regex/-/emoji-regex-8.0.0.tgz
emoji-regex,9.2.2,MIT,transitive:runtime,https://registry.npmjs.org/emoji-regex/-/emoji-regex-9.2.2.tgz
encodeurl,2.0.0,MIT,transitive:runtime,https://registry.npmjs.org/encodeurl/-/encodeurl-2.0.0.tgz
es-define-property,1.0.1,MIT,transitive:runtime,https://registry.npmjs.org/es-define-property/-/es-define-property-1.0.1.tgz
es-errors,1.3.0,MIT,transitive:runtime,https://registry.npmjs.org/es-errors/-/es-errors-1.3.0.tgz
es-object-atoms,1.1.1,MIT,transitive:runtime,https://registry.npmjs.org/es-object-atoms/-/es-object-atoms-1.1.1.tgz
es-set-tostringtag,2.1.0,MIT,transitive:runtime,https://registry.npmjs.org/es-set-tostringtag/-/es-set-tostringtag-2.1.0.tgz
escape-html,1.0.3,MIT,transitive:runtime,https://registry.npmjs.org/escape-html/-/escape-html-1.0.3.tgz
etag,1.8.1,MIT,transitive:runtime,https://registry.npmjs.org/etag/-/etag-1.8.1.tgz
event-target-shim,5.0.1,MIT,transitive:runtime,https://registry.npmjs.org/event-target-shim/-/event-target-shim-5.0.1.tgz
